Tube ID,Sample,gDNA.Extraction.Plate,gDNA.Extraction.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,Notes
AH001,183,Plate039,A1,PCR,2,8,2,FatP6.1,
AH002,184,Plate039,A2,PCR,2,8,2,FatP6.1,
AH003,185,Plate039,A3,PCR,2,8,2,FatP6.1,
AH004,186,Plate039,A4,PCR,2,8,2,FatP6.1,
AH005,187,Plate039,A5,PCR,2,8,2,FatP6.1,
AH006,188,Plate039,A6,PCR,2,8,2,FatP6.1,
AH007,189,Plate039,A7,PCR,2,8,2,FatP6.1,
AH008,190,Plate039,A8,PCR,2,8,2,FatP6.1,
AH009,191,Plate039,A9,PCR,2,8,2,FatP6.1,
AH010,194,Plate039,A10,PCR,2,8,2,FatP6.1,
AH011,195,Plate039,A11,PCR,2,8,2,FatP6.1,
AH012,196,Plate039,A12,PCR,2,8,2,FatP6.1,
AH013,197,Plate039,B1,PCR,2,8,2,FatP6.1,
AH014,198,Plate039,B2,PCR,2,8,2,FatP6.1,
AH015,199,Plate039,B3,PCR,2,8,2,FatP6.1,
AH016,200,Plate039,B4,PCR,2,8,2,FatP6.1,
AH017,201,Plate039,B5,PCR,2,8,2,FatP6.1,
AH018,202,Plate039,B6,PCR,2,8,2,FatP6.1,
AH019,203,Plate039,B7,PCR,2,8,2,FatP6.1,
AH020,204,Plate039,B8,PCR,2,8,2,FatP6.1,
AH021,205,Plate039,B9,PCR,2,8,2,FatP6.1,
AH022,206,Plate039,B10,PCR,2,8,2,FatP6.1,
AH023,207,Plate039,B11,PCR,2,8,2,FatP6.1,
AH024,208,Plate039,B12,PCR,2,8,2,FatP6.1,
AH025,209,Plate039,C1,PCR,2,8,2,FatP6.1,
AH026,210,Plate039,C2,PCR,2,8,2,FatP6.1,
AH027,211,Plate039,C3,PCR,2,8,2,FatP6.1,
AH028,212,Plate039,C4,PCR,2,8,2,FatP6.1,
AH029,213,Plate039,C5,PCR,2,8,2,FatP6.1,
AH030,214,Plate039,C6,PCR,2,8,2,FatP6.1,
AH031,228,Plate039,C7,PCR,2,8,2,FatP6.1,
AH032,229,Plate039,C8,PCR,2,8,2,FatP6.1,
AH033,114,Plate038,F2,PCR,2,8,2,FatP6.1,
AH034,117,Plate038,F5,PCR,2,8,2,FatP6.1,
AH035,120,Plate038,F8,PCR,2,8,2,FatP6.1,
AH036,123,Plate038,F11,PCR,2,8,2,FatP6.1,
