Sample ID,Sample Name,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,Notes,Notes.seq,mtORF.haplotype,RFLP (cut=grandis),Species,Notes.species
AH001,183,PCR,2,8,2,FatP6.1,Strip tubes; water and primer already added ,,1 (grandis/meandrina),meandrina,P.meandrina,
AH002,184,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH003,185,PCR,2,8,2,FatP6.1,,,3 (verrucosa),,P.verrucosa,
AH004,186,PCR,2,8,2,FatP6.1,,,3 (verrucosa),,P.verrucosa,
AH005,187,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH006,188,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH007,189,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),grandis,P.grandis,
AH008,190,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH009,191,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH010,194,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),grandis,P.grandis,
AH011,195,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH012,196,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),grandis,P.grandis,
AH013,197,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH014,198,PCR,2,8,2,FatP6.1,,failed seq ,failed,failed rflp,unknown,"When added to alignment for testing, clustered with haplotype 5 P. acuta"
AH015,199,PCR,2,8,2,FatP6.1,,,5 (acuta),,P. acuta,
AH016,200,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH017,201,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH018,202,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH019,203,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH020,204,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH021,205,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH022,206,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH023,207,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH024,208,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH025,209,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH026,210,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH027,211,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH028,212,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH029,213,PCR,2,8,2,FatP6.1,,,2 (effusa),,P.effusa,
AH030,214,PCR,2,8,2,FatP6.1,,,11 (effusa),,P.effusa,
AH031,228,PCR,2,8,2,FatP6.1,,,10 (tuahiniensis),,P.tuahiniensis,
AH032,229,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH033,114,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),grandis,P. grandis,
AH034,117,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
AH035,120,PCR,2,8,2,FatP6.1,,,8a (meandrina),,P.meandrina,
AH036,123,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),grandis,P.grandis,
AH037,53,PCR,2,8,2,FatP6.1,,,1 (grandis/meandrina),meandrina,P.meandrina,
