#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Water Detect,Button Down,Button Up,Host Connected,End of File
1,11/12/2023 12:30:00,22.810,,,,,
2,11/12/2023 12:33:05,,In,,,,
3,11/12/2023 12:33:18,,,Logged,Logged,,
4,11/12/2023 12:40:00,26.563,,,,,
5,11/12/2023 12:50:00,26.810,,,,,
6,11/12/2023 13:00:00,26.327,,,,,
7,11/12/2023 13:10:00,26.242,,,,,
8,11/12/2023 13:20:00,25.898,,,,,
9,11/12/2023 13:30:00,25.641,,,,,
10,11/12/2023 13:40:00,25.630,,,,,
11,11/12/2023 13:50:00,25.351,,,,,
12,11/12/2023 14:00:00,25.030,,,,,
13,11/12/2023 14:10:00,25.148,,,,,
14,11/12/2023 14:20:00,25.180,,,,,
15,11/12/2023 14:30:00,24.901,,,,,
16,11/12/2023 14:40:00,24.665,,,,,
17,11/12/2023 14:50:00,24.129,,,,,
18,11/12/2023 15:00:00,23.850,,,,,
19,11/12/2023 15:10:00,28.515,,,,,
20,11/12/2023 15:20:00,29.598,,,,,
21,11/12/2023 15:30:00,29.674,,,,,
22,11/12/2023 15:40:00,29.287,,,,,
23,11/12/2023 15:50:00,30.156,,,,,
24,11/12/2023 16:00:00,29.942,,,,,
25,11/12/2023 16:10:00,29.491,,,,,
26,11/12/2023 16:20:00,29.523,,,,,
27,11/12/2023 16:30:00,30.028,,,,,
28,11/12/2023 16:40:00,29.341,,,,,
29,11/12/2023 16:50:00,30.092,,,,,
30,11/12/2023 17:00:00,29.802,,,,,
31,11/12/2023 17:10:00,30.628,,,,,
32,11/12/2023 17:20:00,29.856,,,,,
33,11/12/2023 17:30:00,30.768,,,,,
34,11/12/2023 17:40:00,30.178,,,,,
35,11/12/2023 17:50:00,29.695,,,,,
36,11/12/2023 18:00:00,30.564,,,,,
37,11/12/2023 18:10:00,29.706,,,,,
38,11/12/2023 18:20:00,30.843,,,,,
39,11/12/2023 18:30:00,30.006,,,,,
40,11/12/2023 18:40:00,30.607,,,,,
41,11/12/2023 18:50:00,30.285,,,,,
42,11/12/2023 19:00:00,29.545,,,,,
43,11/12/2023 19:10:00,30.585,,,,,
44,11/12/2023 19:20:00,29.706,,,,,
45,11/12/2023 19:30:00,31.068,,,,,
46,11/12/2023 19:40:00,30.210,,,,,
47,11/12/2023 19:50:00,29.974,,,,,
48,11/12/2023 20:00:00,30.467,,,,,
49,11/12/2023 20:10:00,29.577,,,,,
50,11/12/2023 20:20:00,30.853,,,,,
51,11/12/2023 20:30:00,30.199,,,,,
52,11/12/2023 20:37:50,,Out,,,,
53,11/12/2023 20:40:00,28.601,,,,,
54,11/12/2023 20:50:00,25.148,,,,,
55,11/12/2023 21:00:00,23.592,,,,,
56,11/12/2023 21:03:50,,In,,,,
57,11/12/2023 21:10:00,26.842,,,,,
58,11/12/2023 21:20:00,27.657,,,,,
59,11/12/2023 21:30:00,27.507,,,,,
60,11/12/2023 21:40:00,26.971,,,,,
61,11/12/2023 21:50:00,26.488,,,,,
62,11/12/2023 22:00:00,26.070,,,,,
63,11/12/2023 22:10:00,25.695,,,,,
64,11/12/2023 22:20:00,25.341,,,,,
65,11/12/2023 22:30:00,25.051,,,,,
66,11/12/2023 22:40:00,24.794,,,,,
67,11/12/2023 22:50:00,24.579,,,,,
68,11/12/2023 23:00:00,24.397,,,,,
69,11/12/2023 23:10:00,24.236,,,,,
70,11/12/2023 23:20:00,24.097,,,,,
71,11/12/2023 23:30:00,23.989,,,,,
72,11/12/2023 23:40:00,23.882,,,,,
73,11/12/2023 23:50:00,23.796,,,,,
74,11/13/2023 00:00:00,23.732,,,,,
75,11/13/2023 00:10:00,23.678,,,,,
76,11/13/2023 00:20:00,23.625,,,,,
77,11/13/2023 00:30:00,23.582,,,,,
78,11/13/2023 00:40:00,23.539,,,,,
79,11/13/2023 00:50:00,23.507,,,,,
80,11/13/2023 01:00:00,23.474,,,,,
81,11/13/2023 01:10:00,23.464,,,,,
82,11/13/2023 01:20:00,23.453,,,,,
83,11/13/2023 01:30:00,23.432,,,,,
84,11/13/2023 01:40:00,23.421,,,,,
85,11/13/2023 01:50:00,23.421,,,,,
86,11/13/2023 02:00:00,23.442,,,,,
87,11/13/2023 02:10:00,23.442,,,,,
88,11/13/2023 02:20:00,23.453,,,,,
89,11/13/2023 02:30:00,23.474,,,,,
90,11/13/2023 02:40:00,23.474,,,,,
91,11/13/2023 02:50:00,23.474,,,,,
92,11/13/2023 03:00:00,23.474,,,,,
93,11/13/2023 03:10:00,23.474,,,,,
94,11/13/2023 03:20:00,23.474,,,,,
95,11/13/2023 03:30:00,23.474,,,,,
96,11/13/2023 03:40:00,23.474,,,,,
97,11/13/2023 03:50:00,23.474,,,,,
98,11/13/2023 04:00:00,23.474,,,,,
99,11/13/2023 04:10:00,23.474,,,,,
100,11/13/2023 04:20:00,23.474,,,,,
101,11/13/2023 04:30:00,23.496,,,,,
102,11/13/2023 04:40:00,23.507,,,,,
103,11/13/2023 04:50:00,23.539,,,,,
104,11/13/2023 05:00:00,23.539,,,,,
105,11/13/2023 05:10:00,23.539,,,,,
106,11/13/2023 05:20:00,23.550,,,,,
107,11/13/2023 05:30:00,23.560,,,,,
108,11/13/2023 05:40:00,23.582,,,,,
109,11/13/2023 05:50:00,23.582,,,,,
110,11/13/2023 06:00:00,23.582,,,,,
111,11/13/2023 06:10:00,23.571,,,,,
112,11/13/2023 06:20:00,23.571,,,,,
113,11/13/2023 06:30:00,23.571,,,,,
114,11/13/2023 06:40:00,23.560,,,,,
115,11/13/2023 06:50:00,23.571,,,,,
116,11/13/2023 07:00:00,23.560,,,,,
117,11/13/2023 07:10:00,23.571,,,,,
118,11/13/2023 07:20:00,23.582,,,,,
119,11/13/2023 07:30:00,23.592,,,,,
120,11/13/2023 07:40:00,23.592,,,,,
121,11/13/2023 07:50:00,23.592,,,,,
122,11/13/2023 08:00:00,23.560,,,,,
123,11/13/2023 08:10:00,23.324,,,,,
124,11/13/2023 08:20:00,22.992,,,,,
125,11/13/2023 08:30:00,22.713,,,,,
126,11/13/2023 08:40:00,22.520,,,,,
127,11/13/2023 08:50:00,22.531,,,,,
128,11/13/2023 09:00:00,22.584,,,,,
129,11/13/2023 09:10:00,22.670,,,,,
130,11/13/2023 09:20:00,22.767,,,,,
131,11/13/2023 09:30:00,22.906,,,,,
