Software Version,3.15.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Putnam Lab\Desktop\20231208_Plate1_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/8/23,,,,,,,,,,,,,
Time,6:33:52 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,24.2,,,,,,,,,,,,,
Actual Temperature:,24.2,,,,,,,,,,,,,
Actual Temperature:,24.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.043,0.096,0.076,0.056,0.038,0.045,0.06,0.063,0.06,0.055,0.066,0.082,630
,,0.078,0.318,0.252,0.163,0.038,0.106,0.157,0.185,0.133,0.144,0.17,0.236,663
,,0.027,0.029,0.029,0.028,0.037,0.028,0.029,0.028,0.03,0.028,0.033,0.035,750
,B,0.041,0.105,0.087,0.063,0.027,0.049,0.062,0.069,0.058,0.059,0.064,0.079,630
,,0.089,0.36,0.304,0.191,0.027,0.119,0.169,0.21,0.146,0.157,0.183,0.259,663
,,0.028,0.029,0.029,0.03,0.027,0.029,0.028,0.03,0.03,0.029,0.028,0.03,750
,C,0.05,0.04,0.052,0.085,0.072,0.037,0.03,0.045,0.033,0.106,0.079,0.048,630
,,0.127,0.081,0.127,0.269,0.222,0.071,0.04,0.094,0.049,0.384,0.243,0.108,663
,,0.028,0.027,0.027,0.03,0.029,0.027,0.028,0.029,0.029,0.031,0.03,0.029,750
,D,0.055,0.042,0.055,0.092,0.078,0.044,0.03,0.047,0.032,0.114,0.085,0.05,630
,,0.144,0.088,0.14,0.301,0.247,0.084,0.036,0.104,0.05,0.43,0.269,0.117,663
,,0.03,0.028,0.027,0.029,0.029,0.033,0.028,0.03,0.028,0.029,0.03,0.03,750
,E,0.077,0.036,0.036,0.078,0.038,0.041,0.062,0.038,0.036,0.058,0.043,0.062,630
,,0.227,0.064,0.053,0.256,0.072,0.074,0.166,0.078,0.067,0.164,0.096,0.161,663
,,0.03,0.027,0.03,0.03,0.028,0.03,0.028,0.027,0.028,0.028,0.028,0.03,750
,F,0.083,0.038,0.035,0.085,0.04,0.04,0.069,0.041,0.038,0.062,0.045,0.066,630
,,0.258,0.07,0.055,0.292,0.079,0.079,0.186,0.085,0.072,0.183,0.106,0.177,663
,,0.029,0.029,0.028,0.029,0.029,0.028,0.028,0.027,0.028,0.029,0.028,0.03,750
,G,0.063,0.028,0.06,0.059,0.042,0.04,0.034,0.095,0.044,0.059,0.033,0.045,630
,,0.182,0.028,0.169,0.159,0.089,0.087,0.056,0.333,0.095,0.163,0.055,0.107,663
,,0.029,0.028,0.028,0.028,0.028,0.027,0.028,0.028,0.028,0.027,0.027,0.028,750
,H,0.068,0.028,0.063,0.065,0.043,0.041,0.035,0.104,0.044,0.067,0.036,0.048,630
,,0.197,0.028,0.183,0.178,0.096,0.094,0.059,0.371,0.101,0.184,0.06,0.119,663
,,0.03,0.028,0.028,0.03,0.027,0.027,0.028,0.029,0.028,0.031,0.029,0.029,750
