Software Version,3.15.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Putnam Lab\Desktop\20231208_Plate1_CHL.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 2,,,,,,,,,,,,,
Date,12/8/23,,,,,,,,,,,,,
Time,7:04:23 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,25,,,,,,,,,,,,,
Actual Temperature:,25,,,,,,,,,,,,,
Actual Temperature:,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.049,0.029,0.053,0.043,0.063,0.045,0.042,0.064,0.057,0.124,0.047,0.057,630
,,0.128,0.034,0.138,0.092,0.155,0.102,0.089,0.183,0.147,0.463,0.102,0.133,663
,,0.028,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.029,0.03,0.032,750
,B,0.054,0.029,0.057,0.047,0.06,0.049,0.043,0.069,0.064,0.138,0.046,0.055,630
,,0.147,0.032,0.153,0.106,0.174,0.115,0.094,0.202,0.167,0.522,0.104,0.145,663
,,0.029,0.028,0.028,0.03,0.028,0.029,0.028,0.029,0.031,0.029,0.03,0.03,750
,C,0.069,0.054,0.07,0.075,0.04,0.084,0.064,0.08,0.071,0.078,0.065,0.065,630
,,0.196,0.146,0.207,0.235,0.078,0.285,0.193,0.239,0.203,0.234,0.172,0.183,663
,,0.031,0.027,0.028,0.028,0.028,0.028,0.027,0.029,0.028,0.031,0.03,0.03,750
,D,0.076,0.059,0.077,0.081,0.041,0.092,0.07,0.087,0.076,0.08,0.069,0.069,630
,,0.22,0.162,0.23,0.261,0.084,0.316,0.216,0.267,0.224,0.246,0.181,0.201,663
,,0.031,0.028,0.03,0.029,0.028,0.029,0.028,0.03,0.028,0.029,0.028,0.03,750
,E,0.053,0.045,0.091,0.045,0.079,0.064,0.061,0.109,0.042,0.037,0.085,0.084,630
,,0.132,0.088,0.31,0.102,0.23,0.177,0.168,0.408,0.092,0.07,0.279,0.258,663
,,0.029,0.032,0.029,0.029,0.028,0.029,0.028,0.028,0.027,0.028,0.028,0.029,750
,F,0.058,0.044,0.1,0.05,0.083,0.069,0.066,0.12,0.045,0.041,0.092,0.08,630
,,0.146,0.092,0.349,0.114,0.253,0.2,0.185,0.456,0.103,0.079,0.31,0.243,663
,,0.031,0.029,0.03,0.032,0.029,0.029,0.03,0.029,0.028,0.03,0.028,0.035,750
,G,0.031,0.047,0.052,0.077,0.044,0.048,0.063,0.044,0.046,0.074,0.087,0.04,630
,,0.037,0.118,0.127,0.251,0.095,0.114,0.183,0.099,0.102,0.22,0.273,0.072,663
,,0.029,0.027,0.029,0.028,0.028,0.028,0.028,0.028,0.03,0.03,0.031,0.029,750
,H,0.033,0.05,0.056,0.087,0.046,0.051,0.068,0.048,0.05,0.084,0.096,0.042,630
,,0.04,0.128,0.141,0.285,0.105,0.125,0.203,0.119,0.111,0.244,0.306,0.078,663
,,0.032,0.028,0.03,0.03,0.028,0.028,0.028,0.029,0.03,0.035,0.032,0.029,750
