Sample ID,Sample Name,Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,Notes
AH121,68,A1,PCR,,,,zH4Fr,Samples do NOT have water or primer added; only cleaned PCR product in plate; total volume = approx. 120 uL in each well
AH122,124,B1,PCR,,,,zH4Fr,
AH123,138,C1,PCR,,,,zH4Fr,
AH124,81,D1,PCR,,,,zH4Fr,
AH125,225,E1,PCR,,,,zH4Fr,
AH126,232,F1,PCR,,,,zH4Fr,
AH127,251,G1,PCR,,,,zH4Fr,
EMPTY,NA,H1,PCR,,,,zH4Fr,
AH128,69,A2,PCR,,,,zH4Fr,
AH129,127,B2,PCR,,,,zH4Fr,
AH130,140,C2,PCR,,,,zH4Fr,
AH131,83,D2,PCR,,,,zH4Fr,
AH132,226,E2,PCR,,,,zH4Fr,
AH133,233,F2,PCR,,,,zH4Fr,
AH134,192,G2,PCR,,,,zH4Fr,
EMPTY,NA,H2,PCR,,,,zH4Fr,
AH135,71,A3,PCR,,,,zH4Fr,
AH136,128,B3,PCR,,,,zH4Fr,
AH137,141,C3,PCR,,,,zH4Fr,
AH138,86,D3,PCR,,,,zH4Fr,
AH139,244,E3,PCR,,,,zH4Fr,
AH140,234,F3,PCR,,,,zH4Fr,
AH141,215,G3,PCR,,,,zH4Fr,
EMPTY,NA,H3,PCR,,,,zH4Fr,
AH142,75,A4,PCR,,,,zH4Fr,
AH143,129,B4,PCR,,,,zH4Fr,
AH144,65,C4,PCR,,,,zH4Fr,
AH145,87,D4,PCR,,,,zH4Fr,
AH146,245,E4,PCR,,,,zH4Fr,
AH147,235,F4,PCR,,,,zH4Fr,
AH148,217,G4,PCR,,,,zH4Fr,
EMPTY,NA,H4,PCR,,,,zH4Fr,
AH149,80,A5,PCR,,,,zH4Fr,
AH150,130,B5,PCR,,,,zH4Fr,
AH151,67,C5,PCR,,,,zH4Fr,
AH152,90,D5,PCR,,,,zH4Fr,
AH153,246,E5,PCR,,,,zH4Fr,
AH154,238,F5,PCR,,,,zH4Fr,
AH155,218,G5,PCR,,,,zH4Fr,
EMPTY,NA,H5,PCR,,,,zH4Fr,
AH156,82,A6,PCR,,,,zH4Fr,
AH157,131,B6,PCR,,,,zH4Fr,
AH158,70,C6,PCR,,,,zH4Fr,
AH159,91,D6,PCR,,,,zH4Fr,
AH160,247,E6,PCR,,,,zH4Fr,
AH161,239,F6,PCR,,,,zH4Fr,
AH162,220,G6,PCR,,,,zH4Fr,
EMPTY,NA,H6,PCR,,,,zH4Fr,
AH162,84,A7,PCR,,,,zH4Fr,
AH163,132,B7,PCR,,,,zH4Fr,
AH164,72,C7,PCR,,,,zH4Fr,
AH165,92,D7,PCR,,,,zH4Fr,
AH166,193,E7,PCR,,,,zH4Fr,
AH167,240,F7,PCR,,,,zH4Fr,
AH168,237,G7,PCR,,,,zH4Fr,
EMPTY,NA,H7,PCR,,,,zH4Fr,
AH169,85,A8,PCR,,,,zH4Fr,
AH170,133,B8,PCR,,,,zH4Fr,
AH171,73,C8,PCR,,,,zH4Fr,
AH172,93,D8,PCR,,,,zH4Fr,
AH173,216,E8,PCR,,,,zH4Fr,
AH174,242,F8,PCR,,,,zH4Fr,
AH175,241,G8,PCR,,,,zH4Fr,
EMPTY,NA,H8,PCR,,,,zH4Fr,
AH176,88,A9,PCR,,,,zH4Fr,
AH177,134,B9,PCR,,,,zH4Fr,
AH178,74,C9,PCR,,,,zH4Fr,
AH179,221,D9,PCR,,,,zH4Fr,
AH180,219,E9,PCR,,,,zH4Fr,
AH181,243,F9,PCR,,,,zH4Fr,
AH182,66,G9,PCR,,,,zH4Fr,
EMPTY,NA,H9,PCR,,,,zH4Fr,
AH183,94,A10,PCR,,,,zH4Fr,
AH184,135,B10,PCR,,,,zH4Fr,
AH185,76,C10,PCR,,,,zH4Fr,
AH186,222,D10,PCR,,,,zH4Fr,
AH187,227,E10,PCR,,,,zH4Fr,
AH188,248,F10,PCR,,,,zH4Fr,
AH189,Positive-JA491,G10,PCR,,,,zH4Fr,
EMPTY,NA,H10,PCR,,,,zH4Fr,
AH190,95,A11,PCR,,,,zH4Fr,
AH191,136,B11,PCR,,,,zH4Fr,
AH192,77,C11,PCR,,,,zH4Fr,
AH193,223,D11,PCR,,,,zH4Fr,
AH194,230,E11,PCR,,,,zH4Fr,
AH195,249,F11,PCR,,,,zH4Fr,
NA,negative-control,G11,PCR,,,,zH4Fr,"PCR negative, do not sequence"
EMPTY,NA,H11,PCR,,,,zH4Fr,
AH196,96,A12,PCR,,,,zH4Fr,
AH197,137,B12,PCR,,,,zH4Fr,
AH198,79,C12,PCR,,,,zH4Fr,
AH199,224,D12,PCR,,,,zH4Fr,
AH200,231,E12,PCR,,,,zH4Fr,
AH201,250,F12,PCR,,,,zH4Fr,
NA,negative-control,G12,PCR,,,,zH4Fr,"PCR negative, do not sequence"
EMPTY,NA,H12,PCR,,,,zH4Fr,
