Sample ID,Sample Name,Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,Notes,
AH368,13,A1,PCR,,,,PaxC_intron_FP1,Samples do NOT have water or primer added; only cleaned PCR product in plate; total volume = approx. 120 uL in each well,
AH369,102,B1,PCR,,,,PaxC_intron_FP1,,
AH370,4,C1,PCR,,,,PaxC_intron_FP1,,
AH371,26,D1,PCR,,,,PaxC_intron_FP1,,
AH372,151,E1,PCR,,,,PaxC_intron_FP1,,
AH373,163,F1,PCR,,,,PaxC_intron_FP1,,
AH374,171,G1,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H1,PCR,,,,PaxC_intron_FP1,,
AH375,14,A2,PCR,,,,PaxC_intron_FP1,,
AH376,103,B2,PCR,,,,PaxC_intron_FP1,,
AH377,6,C2,PCR,,,,PaxC_intron_FP1,,
AH378,27,D2,PCR,,,,PaxC_intron_FP1,,
AH379,152,E2,PCR,,,,PaxC_intron_FP1,,
AH380,164,F2,PCR,,,,PaxC_intron_FP1,,
AH381,172,G2,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H2,PCR,,,,PaxC_intron_FP1,,
AH382,15,A3,PCR,,,,PaxC_intron_FP1,,
AH383,104,B3,PCR,,,,PaxC_intron_FP1,,
AH384,7,C3,PCR,,,,PaxC_intron_FP1,,
AH385,30,D3,PCR,,,,PaxC_intron_FP1,,
AH386,153,E3,PCR,,,,PaxC_intron_FP1,,
AH387,166,F3,PCR,,,,PaxC_intron_FP1,,
AH388,174,G3,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H3,PCR,,,,PaxC_intron_FP1,,
AH389,16,A4,PCR,,,,PaxC_intron_FP1,,
AH390,105,B4,PCR,,,,PaxC_intron_FP1,,
AH391,8,C4,PCR,,,,PaxC_intron_FP1,,
AH392,31,D4,PCR,,,,PaxC_intron_FP1,,
AH393,154,E4,PCR,,,,PaxC_intron_FP1,,
AH394,168,F4,PCR,,,,PaxC_intron_FP1,,
AH395,175,G4,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H4,PCR,,,,PaxC_intron_FP1,,
AH396,20,A5,PCR,,,,PaxC_intron_FP1,,
AH397,106,B5,PCR,,,,PaxC_intron_FP1,,
AH398,9,C5,PCR,,,,PaxC_intron_FP1,,
AH399,32,D5,PCR,,,,PaxC_intron_FP1,,
AH400,155,E5,PCR,,,,PaxC_intron_FP1,,
AH401,173,F5,PCR,,,,PaxC_intron_FP1,,
AH402,177,G5,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H5,PCR,,,,PaxC_intron_FP1,,
AH403,28,A6,PCR,,,,PaxC_intron_FP1,,
AH404,107,B6,PCR,,,,PaxC_intron_FP1,,
AH405,12,C6,PCR,,,,PaxC_intron_FP1,,
AH406,142,D6,PCR,,,,PaxC_intron_FP1,,
AH407,156,E6,PCR,,,,PaxC_intron_FP1,,
AH408,176,F6,PCR,,,,PaxC_intron_FP1,,
AH409,11,G6,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H6,PCR,,,,PaxC_intron_FP1,,
AH410,29,A7,PCR,,,,PaxC_intron_FP1,,
AH411,108,B7,PCR,,,,PaxC_intron_FP1,,
AH412,17,C7,PCR,,,,PaxC_intron_FP1,,
AH413,143,D7,PCR,,,,PaxC_intron_FP1,,
AH414,157,E7,PCR,,,,PaxC_intron_FP1,,
AH415,178,F7,PCR,,,,PaxC_intron_FP1,,
AH416,229,G7,PCR,,,,PaxC_intron_FP1,,Note for AH - POC sample 
EMPTY,NA,H7,PCR,,,,PaxC_intron_FP1,,
AH417,97,A8,PCR,,,,PaxC_intron_FP1,,
AH418,109,B8,PCR,,,,PaxC_intron_FP1,,
AH419,18,C8,PCR,,,,PaxC_intron_FP1,,
AH420,144,D8,PCR,,,,PaxC_intron_FP1,,
AH421,158,E8,PCR,,,,PaxC_intron_FP1,,
AH422,148,F8,PCR,,,,PaxC_intron_FP1,,
AH423,1,G8,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H8,PCR,,,,PaxC_intron_FP1,,
AH424,98,A9,PCR,,,,PaxC_intron_FP1,,
AH425,110,B9,PCR,,,,PaxC_intron_FP1,,
AH426,19,C9,PCR,,,,PaxC_intron_FP1,,
AH427,145,D9,PCR,,,,PaxC_intron_FP1,,
AH428,159,E9,PCR,,,,PaxC_intron_FP1,,
AH429,150,F9,PCR,,,,PaxC_intron_FP1,,
AH430,5,G9,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H9,PCR,,,,PaxC_intron_FP1,,
AH431,99,A10,PCR,,,,PaxC_intron_FP1,,
AH432,111,B10,PCR,,,,PaxC_intron_FP1,,
AH433,21,C10,PCR,,,,PaxC_intron_FP1,,
AH434,146,D10,PCR,,,,PaxC_intron_FP1,,
AH435,160,E10,PCR,,,,PaxC_intron_FP1,,
AH436,165,F10,PCR,,,,PaxC_intron_FP1,,
AH437,10,G10,PCR,,,,PaxC_intron_FP1,,
EMPTY,NA,H10,PCR,,,,PaxC_intron_FP1,,
AH438,100,A11,PCR,,,,PaxC_intron_FP1,,
AH439,2,B11,PCR,,,,PaxC_intron_FP1,,
AH440,24,C11,PCR,,,,PaxC_intron_FP1,,
AH441,147,D11,PCR,,,,PaxC_intron_FP1,,
AH442,161,E11,PCR,,,,PaxC_intron_FP1,,
AH443,167,F11,PCR,,,,PaxC_intron_FP1,,
NA,NA,G11,PCR,,,,PaxC_intron_FP1,"PCR negative, do not sequence",
EMPTY,NA,H11,PCR,,,,PaxC_intron_FP1,,
AH444,101,A12,PCR,,,,PaxC_intron_FP1,,
AH445,3,B12,PCR,,,,PaxC_intron_FP1,,
AH446,25,C12,PCR,,,,PaxC_intron_FP1,,
AH447,149,D12,PCR,,,,PaxC_intron_FP1,,
AH448,162,E12,PCR,,,,PaxC_intron_FP1,,
AH449,170,F12,PCR,,,,PaxC_intron_FP1,,
AH450,Becker24,G12,PCR,,,,PaxC_intron_FP1,"PCR negative, do not sequence",
EMPTY,NA,H12,PCR,,,,PaxC_intron_FP1,,
