Date,sample_id,Chamber.Channel,Position,Run,Species,Lifestage,Temp.Cat,Chamber.Vol.L,Logger,Notes
20231106,ACR-A1,1,P1-1,Run1,Acropora,Adult,27.8,181,21723472,
20231106,ACR-R5,2,P2-7,Run1,Acropora,Recruit,27.8,177,21723472,
20231106,ACR-R1,3,P2-3,Run1,Acropora,Recruit,27.8,187,21723472,
20231106,POR-A5,4,P2-5,Run1,Pocillopora,Adult,27.8,176,21723472,"Was POC-A5, Actually POR-A5"
20231106,POC-R10,5,P1-3,Run1,Porites,Recruit,27.8,185,21723472,"Was POR-R10, Actually POC-R10 "
20231106,ACR-R10,6,P2-6,Run1,Acropora,Recruit,27.8,189,21723472,
20231106,POC-R7,7,P1-2,Run1,Porites,Recruit,27.8,180,21723472,"Was POR-R7, Actually POC-R7"
20231106,BK-2,8,P2-9,Run1,Blank,Blank,27.8,191,21723472,
20231106,POC-R5,9,P1-4,Run1,Pocillopora,Recruit,27.8,194,21723472,
20231106,POR-A1,10,P1-5,Run1,Porites,Adult,27.8,177,21723472,
20231106,POC-R8,11,P1-6,Run1,Pocillopora,Recruit,27.8,179,21723472,
20231106,LOG-1,12,P2-4,Run1,logger,logger,27.8,NA,21723472,
20231106,POC-R9,13,P1-8,Run1,Pocillopora,Recruit,27.8,186,21723472,
20231106,BK-1,14,P1-7,Run1,Blank,Blank,27.8,194,21723472,
20231106,ACR-A4,15,P2-8,Run1,Acropora,Adult,27.8,180,21723472,
20231106,POR-R3,16,P2-1,Run1,Porites,Recruit,27.8,194,21723472,
20231106,POR-A4,17,P1-9,Run1,Porites,Adult,27.8,167,21723472,
20231106,POC-A1,18,P2-2,Run1,Pocillopora,Adult,27.8,184,21723472,
20231106,POC-R2,1,P1-1,Run2,Pocillopora,Recruit,27.8,178,21723472,
20231106,ACR-R4,2,P1-2,Run2,Acropora,Recruit,27.8,190,21723472,Crab on coral
20231106,POR-A2,3,P1-3,Run2,Porites,Adult,27.8,172,21723472,
20231106,BK-4,4,P1-4,Run2,Blank,Blank,27.8,181,21723472,
20231106,ACR-A3,5,P1-5,Run2,Acropora,Adult,27.8,182,21723472,
20231106,POR-R1,6,P1-6,Run2,Porites,Recruit,27.8,191,21723472,
20231106,BK-3,7,P1-7,Run2,Blank,Blank,27.8,190,21723472,
20231106,ACR-R3,8,P1-8,Run2,Acropora,Recruit,27.8,190,21723472,
20231106,POC-A3,9,P1-9,Run2,Pocillopora,Adult,27.8,199,21723472,
20231106,ACR-A2,10,P2-1,Run2,Acropora,Adult,27.8,188,21723472,
20231106,POC-R1,11,P2-2,Run2,Pocillopora,Recruit,27.8,192,21723472,
20231106,LOG-2,12,P2-3,Run2,logger,logger,27.8,NA,21723472,
20231106,POR-R2,13,P2-4,Run2,Porites,Recruit,27.8,182,21723472,
20231106,ACR-R2,14,P2-5,Run2,Acropora,Recruit,27.8,180,21723472,
20231106,POC-R3,15,P2-6,Run2,Pocillopora,Recruit,27.8,195,21723472,
20231106,POR-A3,16,P2-7,Run2,Porites,Adult,27.8,184,21723472,
20231106,POR-R4,17,P2-8,Run2,Porites,Recruit,27.8,180,21723472,
20231106,POC-A2,18,P2-9,Run2,Pocillopora,Adult,27.8,184,21723472,
20231107,POC-A5,1,P1-1,Run3,Porites,Adult,27.8,195,21723472,"WAS POR-A5, ACTUALLY POC-A5"
20231107,ACR-R8,2,P1-2,Run3,Acropora,Recruit,27.8,190,21723472,"In two pieces on plug, left unglued "
20231107,POR-R6,3,P1-3,Run3,Porites,Recruit,27.8,196,21723472,
20231107,POR-R7,4,P1-4,Run3,Pocillopora,Recruit,27.8,201,21723472,"Was POC-R7, Actually POR-R7"
20231107,ACR-R7,5,P1-5,Run3,Acropora,Recruit,27.8,198,21723472,
20231107,ACR-A5,6,P1-6,Run3,Acropora,Adult,27.8,406,21723472,"Too tall for small chamber, put into large chamber with lid pushed down to above coral height "
20231107,POR-R8,7,P1-7,Run3,Porites,Recruit,27.8,194,21723472,
20231107,POC-A4,8,P1-8,Run3,Pocillopora,Adult,27.8,193,21723472,
20231107,ACR-R6,9,P1-9,Run3,Acropora,Recruit,27.8,181,21723472,
20231107,BK-5,10,P2-1,Run3,Blank,Blank,27.8,198,21723472,
20231107,LOG-3,11,P2-2,Run3,logger,logger,27.8,NA,21723472,
20231107,POR-R9,12,P2-3,Run3,Porites,Recruit,27.8,194,21723472,
20231107,POR-R10,13,P2-4,Run3,Pocillopora,Recruit,27.8,195,21723472,"Was POC-R10, Actually POR-R10 "
20231107,POR-R5,14,P2-5,Run3,Porites,Recruit,27.8,194,21723472,
20231107,POC-R6,15,P2-6,Run3,Pocillopora,Recruit,27.8,193,21723472,
20231107,POC-R4,16,P2-7,Run3,Pocillopora,Recruit,27.8,196,21723472,
20231107,BK-6,17,P2-8,Run3,Blank,Blank,27.8,190,21723472,
20231107,ACR-R9,18,P2-9,Run3,Acropora,Recruit,27.8,189,21723472,
